Country,Clicks,Impressions,CTR,Position
United States,28043,6513470,0.43%,24.22
India,344,154750,0.22%,25.16
United Kingdom,263,203105,0.13%,31.74
Canada,211,72073,0.29%,23.85
Philippines,187,54035,0.35%,19.9
Nigeria,149,9219,1.62%,17.48
Mexico,110,52792,0.21%,24.9
Australia,90,25566,0.35%,33
Kenya,69,7325,0.94%,23.77
Germany,51,48967,0.1%,32.99
France,49,53398,0.09%,33.44
South Africa,47,22195,0.21%,33.36
Pakistan,46,16723,0.28%,29.13
Spain,34,30498,0.11%,26.05
Nicaragua,31,2190,1.42%,16.27
Malaysia,24,26184,0.09%,25.59
Peru,24,16973,0.14%,17.31
Ireland,22,14257,0.15%,36.42
Russia,21,98645,0.02%,45.1
Italy,20,143448,0.01%,48.58
Colombia,20,22875,0.09%,24.57
Bangladesh,20,21139,0.09%,24.27
Netherlands,20,16872,0.12%,30.71
Singapore,20,8663,0.23%,31.4
United Arab Emirates,19,10701,0.18%,21.25
El Salvador,18,1788,1.01%,26.65
Indonesia,16,45313,0.04%,22.86
