Date,Clicks,Impressions,CTR,Position
2025-03-20,84,23408,0.36%,38.8
2025-03-21,104,19414,0.54%,37.2
2025-03-22,59,20066,0.29%,40.5
2025-03-23,73,20439,0.36%,39.5
2025-03-24,158,22035,0.72%,35.6
2025-03-25,119,21562,0.55%,35.2
2025-03-26,130,19359,0.67%,33.6
2025-03-27,130,18871,0.69%,34.3
2025-03-28,108,20852,0.52%,38.4
2025-03-29,66,18586,0.36%,39
2025-03-30,75,22226,0.34%,41.1
2025-03-31,115,20996,0.55%,36
2025-04-01,130,25782,0.5%,40.7
2025-04-02,129,28145,0.46%,41.8
2025-04-03,104,26575,0.39%,43.5
2025-04-04,116,20479,0.57%,37.2
2025-04-05,63,23476,0.27%,42.5
2025-04-06,78,20169,0.39%,39.8
2025-04-07,105,21833,0.48%,35.3
2025-04-08,131,22434,0.58%,35.2
2025-04-09,133,20551,0.65%,34.5
2025-04-10,107,22517,0.48%,38.8
2025-04-11,82,24725,0.33%,43.8
2025-04-12,77,21483,0.36%,42.9
2025-04-13,80,21753,0.37%,42.1
2025-04-14,128,32922,0.39%,44.9
2025-04-15,118,26792,0.44%,42.1
2025-04-16,109,20103,0.54%,36.1
2025-04-17,92,21376,0.43%,39.2
2025-04-18,80,22130,0.36%,42.2
2025-04-19,55,28527,0.19%,48.6
2025-04-20,72,25515,0.28%,44.4
2025-04-21,102,27651,0.37%,42.1
2025-04-22,95,27232,0.35%,42.8
2025-04-23,96,26862,0.36%,41
2025-04-24,123,28295,0.43%,41.4
2025-04-25,70,27774,0.25%,43.5
2025-04-26,55,24752,0.22%,42.6
2025-04-27,49,23273,0.21%,39.3
2025-04-28,84,24937,0.34%,37.4
2025-04-29,110,24682,0.45%,37.5
2025-04-30,109,21724,0.5%,37
2025-05-01,95,23193,0.41%,37.5
2025-05-02,82,21220,0.39%,36.3
2025-05-03,55,25314,0.22%,43.2
2025-05-04,63,22673,0.28%,39.9
2025-05-05,107,25611,0.42%,36.9
2025-05-06,112,25107,0.45%,36
2025-05-07,109,23415,0.47%,34.8
2025-05-08,102,24799,0.41%,35.3
2025-05-09,68,22878,0.3%,34.7
2025-05-10,53,27515,0.19%,40.2
2025-05-11,66,25465,0.26%,37.2
2025-05-12,108,30384,0.36%,35.7
2025-05-13,110,30131,0.37%,36.5
2025-05-14,87,29181,0.3%,35.4
2025-05-15,88,29141,0.3%,36.4
2025-05-16,82,26268,0.31%,36.1
2025-05-17,66,30193,0.22%,42.7
2025-05-18,71,25555,0.28%,40.3
2025-05-19,106,28735,0.37%,37.3
2025-05-20,100,30126,0.33%,39
2025-05-21,112,27391,0.41%,39.5
2025-05-22,83,25785,0.32%,38.6
2025-05-23,53,24670,0.21%,42.5
2025-05-24,34,26167,0.13%,45
2025-05-25,36,22511,0.16%,43.1
2025-05-26,55,27282,0.2%,43.9
2025-05-27,79,24254,0.33%,39.1
2025-05-28,86,23978,0.36%,37.1
2025-05-29,89,27422,0.32%,38
2025-05-30,80,23293,0.34%,37.5
2025-05-31,50,28528,0.18%,43.9
2025-06-01,55,24832,0.22%,39.6
2025-06-02,115,25827,0.45%,37.4
