Country,Clicks,Impressions,CTR,Position
United States,28043,6513470,0.43%,24.22
India,344,154750,0.22%,25.16
United Kingdom,263,203105,0.13%,31.74
Canada,211,72073,0.29%,23.85
Philippines,187,54035,0.35%,19.9
Nigeria,149,9219,1.62%,17.48
Mexico,110,52792,0.21%,24.9
Australia,90,25566,0.35%,33
Kenya,69,7325,0.94%,23.77
Germany,51,48967,0.1%,32.99
France,49,53398,0.09%,33.44
South Africa,47,22195,0.21%,33.36
Pakistan,46,16723,0.28%,29.13
Spain,34,30498,0.11%,26.05
Nicaragua,31,2190,1.42%,16.27
Malaysia,24,26184,0.09%,25.59
Peru,24,16973,0.14%,17.31
Ireland,22,14257,0.15%,36.42
Russia,21,98645,0.02%,45.1
Italy,20,143448,0.01%,48.58
Colombia,20,22875,0.09%,24.57
Bangladesh,20,21139,0.09%,24.27
Netherlands,20,16872,0.12%,30.71
Singapore,20,8663,0.23%,31.4
United Arab Emirates,19,10701,0.18%,21.25
El Salvador,18,1788,1.01%,26.65
Indonesia,16,45313,0.04%,22.86
Hong Kong,13,4951,0.26%,17.65
Ghana,13,2925,0.44%,18.21
Brazil,12,377555,0%,36.11
New Zealand,12,5568,0.22%,30.4
Poland,11,16996,0.06%,25.77
Serbia,11,4630,0.24%,25.51
U.S. Virgin Islands,11,271,4.06%,10.92
South Korea,10,80163,0.01%,39.17
Japan,10,15146,0.07%,36.22
Dominican Republic,10,8795,0.11%,26.89
Belgium,10,5145,0.19%,22.28
Thailand,9,12813,0.07%,23.25
Romania,9,9496,0.09%,23.95
Israel,9,7536,0.12%,21.92
Trinidad & Tobago,9,6717,0.13%,34.23
Norway,9,3816,0.24%,24.13
Finland,9,3287,0.27%,25.93
Denmark,9,3162,0.28%,22.77
Argentina,8,40624,0.02%,29.36
Turkey,8,30183,0.03%,26.69
Portugal,8,8860,0.09%,20.65
Sweden,8,7237,0.11%,28.22
Jamaica,8,5556,0.14%,30.72
Zambia,8,1042,0.77%,15.88
Ukraine,7,22893,0.03%,31.39
Puerto Rico,7,2730,0.26%,22.16
Sri Lanka,7,2320,0.3%,21.06
Taiwan,6,15048,0.04%,37.6
Greece,6,5973,0.1%,25.2
China,6,3613,0.17%,11.6
Costa Rica,6,3129,0.19%,26.82
Croatia,6,2298,0.26%,23.1
Bahamas,6,2262,0.27%,29.3
Iraq,5,14167,0.04%,23.25
Algeria,5,10793,0.05%,22.77
Czechia,5,5630,0.09%,24.64
Switzerland,5,4947,0.1%,25.09
Hungary,5,4754,0.11%,23.87
Austria,5,3688,0.14%,25.12
Bosnia & Herzegovina,5,2575,0.19%,27.88
Guatemala,5,2545,0.2%,25.35
South Sudan,5,200,2.5%,7.62
Vietnam,4,65305,0.01%,35.81
Egypt,4,14175,0.03%,33.78
Saudi Arabia,4,12215,0.03%,32.3
Venezuela,4,10959,0.04%,33.29
Bolivia,4,5886,0.07%,15.92
Albania,4,3396,0.12%,23.06
Honduras,4,3050,0.13%,24.42
Guyana,4,1607,0.25%,33.85
Uganda,4,1504,0.27%,14.88
Tanzania,4,856,0.47%,21.86
Cameroon,4,497,0.8%,17.45
Guam,4,378,1.06%,15.08
Cuba,4,370,1.08%,13.5
Ecuador,3,21338,0.01%,29.93
Morocco,3,20170,0.01%,19.21
Bulgaria,3,6532,0.05%,32.13
Nepal,3,5670,0.05%,26.81
Kazakhstan,3,5217,0.06%,35.89
Belize,3,1009,0.3%,29.32
Botswana,3,599,0.5%,25.32
Grenada,3,564,0.53%,30.79
Malawi,3,340,0.88%,18.73
Lithuania,2,30531,0.01%,49.52
Chile,2,11305,0.02%,26.85
Latvia,2,7635,0.03%,45.88
Paraguay,2,5907,0.03%,35.74
Uzbekistan,2,4895,0.04%,36.8
Jordan,2,4886,0.04%,27.59
Iran,2,3921,0.05%,34.87
Panama,2,3306,0.06%,21.13
