Country,Impressions
United States,29030
Brazil,13697
Morocco,8208
Mexico,6228
Peru,5714
Tunisia,5457
Ecuador,5008
Vietnam,4690
Argentina,3612
Bolivia,3444
Germany,3422
South Korea,3113
Colombia,2985
Iraq,2936
Venezuela,2347
Malaysia,2342
Panama,2253
Indonesia,2237
Egypt,1825
Kuwait,1555
India,1534
Ethiopia,1475
Palestine,1349
Ukraine,1332
United Arab Emirates,1260
Russia,1181
Dominican Republic,1156
Bangladesh,1090
Algeria,1083
Poland,1064
France,955
Pakistan,844
Portugal,585
Japan,554
Taiwan,480
Chile,455
United Kingdom,455
Romania,454
Honduras,439
Saudi Arabia,429
Kazakhstan,424
Israel,421
Azerbaijan,417
Canada,417
Cambodia,409
Ireland,405
Hungary,395
Greece,367
Paraguay,338
Italy,337
Turkey,335
Thailand,325
Trinidad & Tobago,322
El Salvador,294
Kenya,287
Burkina Faso,286
Uzbekistan,285
Mongolia,274
Spain,268
Sri Lanka,263
Sweden,254
Jordan,247
Kosovo,242
South Africa,231
Slovakia,227
Philippines,223
Georgia,222
Lithuania,216
Norway,216
Lebanon,211
Bulgaria,210
Oman,210
Belarus,208
Syria,204
Denmark,198
Nicaragua,197
Austria,192
Uruguay,179
Moldova,174
Singapore,174
Bosnia & Herzegovina,168
Hong Kong,160
Croatia,158
Bahrain,157
Finland,156
Armenia,152
Ghana,152
Senegal,151
Uganda,149
Albania,143
Togo,142
Latvia,132
Slovenia,124
Australia,120
Qatar,116
Cyprus,114
Czechia,111
Macedonia,111
Barbados,106
Guyana,105
Laos,102
Myanmar (Burma),102
Nepal,95
Puerto Rico,94
Macau,92
Switzerland,91
Luxembourg,89
Costa Rica,87
Serbia,87
Guatemala,86
St. Lucia,82
Nigeria,80
Estonia,76
Bahamas,70
Belize,69
Libya,69
Yemen,69
Jamaica,65
Tanzania,64
Belgium,63
Malta,63
Netherlands,63
New Zealand,63
Rwanda,61
Mauritania,59
Mauritius,59
Western Sahara,53
Grenada,53
Mali,49
St. Kitts & Nevis,39
Maldives,39
Brunei,36
Kyrgyzstan,36
Swaziland,36
Afghanistan,35
Zimbabwe,28
Somalia,27
Namibia,26
Angola,25
Antigua & Barbuda,24
Tajikistan,22
Zambia,22
Suriname,20
Liberia,19
Montenegro,18
Botswana,17
Iceland,17
Sudan,17
St. Vincent & Grenadines,16
Gambia,15
Madagascar,15
U.S. Virgin Islands,15
Dominica,14
Guinea,14
Sierra Leone,13
Seychelles,13
Congo - Kinshasa,12
Fiji,12
Jersey,12
South Sudan,12
Andorra,11
Congo - Brazzaville,11
Martinique,10
Côte d’Ivoire,9
Guernsey,8
Guinea-Bissau,8
Guam,8
Isle of Man,8
Lesotho,7
Cape Verde,6
Faroe Islands,6
Monaco,6
Mozambique,6
Benin,5
Bhutan,5
Cameroon,5
Gabon,5
Haiti,5
Malawi,5
Papua New Guinea,5
Liechtenstein,4
Niger,4
Gibraltar,3
Guadeloupe,3
St. Martin,3
Timor-Leste,3
Åland Islands,2
Comoros,2
Curaçao,2
Cayman Islands,2
Iran,2
New Caledonia,2
Réunion,2
Unknown Region,2
Bermuda,1
Central African Republic,1
China,1
Djibouti,1
Micronesia,1
Equatorial Guinea,1
Marshall Islands,1
Northern Mariana Islands,1
Palau,1
Solomon Islands,1
Turkmenistan,1
Tonga,1
