cfg,latest_addr,mo,solv_pct,scan_days
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-04,0,2
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-05,0,1
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-06,0,5
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-07,0,4
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-08,0,5
xlr9v1yl,"109 E 17th St Ste #6167, Cheyenne, WY 82001, USA",2026-09,0,2
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-04,92,2
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-05,89.5,1
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-06,89.35,5
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-07,89.31,4
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-08,90.1,5
45o7epez,"13599 E 104th Ave #300, Commerce City, CO 80022, USA",2026-09,91.5,2
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-02,2.75,1
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-03,9.13,2
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-04,7.5,1
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-05,5.5,1
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-06,6.95,5
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-07,6.88,4
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-08,6.4,5
95p0pqgl,"2139 Chuckwagon Rd #210, Colorado Springs, CO 80919, USA",2026-09,7.63,2
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-04,0,2
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-05,0,1
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-06,0,5
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-07,0,4
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-08,0,5
7l81674z,"2300 Glades Rd Ste. 135E, Boca Raton, FL 33431, USA",2026-09,0,2
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-02,0,1
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-03,0.63,2
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-04,0.5,1
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-05,0.5,1
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-06,0.6,5
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-07,0.75,4
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-08,0.75,5
3zxrx82z,"2580 E Harmony Rd #201, Fort Collins, CO 80528, USA",2026-09,0.75,2
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-02,0,1
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-03,0.06,2
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-04,0,1
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-05,0,1
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-06,0,5
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-07,0,4
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-08,0,5
8lgdwojl,"3773 Cherry Creek N Dr Ste 801, Denver, CO 80209, USA",2026-09,0,2
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-04,2.25,2
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-05,2,1
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-06,1.9,5
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-07,1.88,4
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-08,2.2,5
o5em9r6l,"3838 N Ravenswood Ave Office 231, Chicago, IL 60613, USA",2026-09,2.13,2
g59r4g25,Service Area Business,2026-02,22,1
g59r4g25,Service Area Business,2026-03,25.75,2
g59r4g25,Service Area Business,2026-04,16,1
g59r4g25,Service Area Business,2026-05,11.25,1
g59r4g25,Service Area Business,2026-06,22.2,5
g59r4g25,Service Area Business,2026-07,21.31,4
g59r4g25,Service Area Business,2026-08,19.1,5
g59r4g25,Service Area Business,2026-09,27.13,2
